SALEDATE;PDCODE;QTY;UNITVAL;TOTALSALE;CUMSALES;CLIENTCODE;CLIENTCITY;CLIENTSTATE
03/10/2020;1;2;15.3;30.6;30.6;3;Porto Alegre;RS
05/10/2020;12;10;18.7;187;217.6;1;Novo Hamburgo;RS
05/10/2020;1;10;14.45;144.5;362.1;1;Novo Hamburgo;RS
05/10/2020;3;3;24.65;73.95;436.05;1;Novo Hamburgo;RS
06/10/2020;5;2;70.75;141.5;577.55;6;Porto Alegre;RS
12/10/2020;4;1;40;40;617.55;7;Porto Alegre;RS
12/10/2020;14;2;40;80;697.55;7;Porto Alegre;RS
16/10/2020;2;7;27.2;190.4;887.95;8;Porto Alegre;RS
16/10/2020;18;4;38.25;153;1040.95;9;Florianopolis;SC
16/10/2020;15;4;12.75;51;1091.95;9;Florianopolis;SC
16/10/2020;1;3;14.45;43.35;1135.3;9;Florianopolis;SC
16/10/2020;17;3;10.2;30.6;1165.9;9;Florianopolis;SC
16/10/2020;16;4;11.9;47.6;1213.5;9;Florianopolis;SC
22/10/2020;25;3;12.6;37.8;1251.3;1;Novo Hamburgo;RS
22/10/2020;14;2;34;68;1319.3;1;Novo Hamburgo;RS
22/10/2020;12;4;19.8;79.2;1398.5;1;Novo Hamburgo;RS
22/10/2020;1;6;15.3;91.8;1490.3;1;Novo Hamburgo;RS
22/10/2020;27;2;30.6;61.2;1551.5;1;Novo Hamburgo;RS
22/10/2020;22;6;10.8;64.8;1616.3;1;Novo Hamburgo;RS
22/10/2020;17;4;10.8;43.2;1659.5;1;Novo Hamburgo;RS
22/10/2020;16;3;12.6;37.8;1697.3;1;Novo Hamburgo;RS
22/10/2020;3;3;26.1;78.3;1775.6;1;Novo Hamburgo;RS
27/10/2020;29;4;10;40;1815.6;10;Porto Alegre;RS
27/10/2020;2;6;27.2;163.2;1978.8;10;Porto Alegre;RS
29/10/2020;2;5;27.2;136;2114.8;11;Porto Alegre;RS
31/10/2020;2;4;27.2;108.8;2386.8;8;Porto Alegre;RS
31/10/2020;2;6;27.2;163.2;2278;10;Porto Alegre;RS
01/11/2020;30;1.4;40.2;56.28;2443.08;10;Porto Alegre;RS
06/11/2020;34;1;26.1;26.1;2469.18;1;Novo Hamburgo;RS
06/11/2020;31;1;26.1;26.1;2495.28;1;Novo Hamburgo;RS
06/11/2020;3;2;26.1;52.2;2705.48;1;Novo Hamburgo;RS
06/11/2020;2;4;39.5;158;2653.28;8;Porto Alegre;RS
07/11/2020;30;1;51;51;2756.48;10;Porto Alegre;RS
07/11/2020;2;4;27.2;108.8;2865.28;10;Porto Alegre;RS
10/11/2020;2;8;28.8;230.4;3095.68;8;Porto Alegre;RS
12/11/2020;30;1;51;51;3146.68;10;Porto Alegre;RS
12/11/2020;2;6;27.2;163.2;3309.88;10;Porto Alegre;RS
13/11/2020;34;1;29;29;3338.88;1;Novo Hamburgo;RS
13/11/2020;12;3;22;66;3404.88;1;Novo Hamburgo;RS
16/11/2020;2;4;32;128;3532.88;13;Porto Alegre;RS
17/11/2020;29;3;12.75;38.25;3571.13;14;Porto Alegre;RS
17/11/2020;14;1;33.15;33.15;3604.28;14;Porto Alegre;RS
17/11/2020;1;6;14.45;86.7;3690.98;14;Porto Alegre;RS
18/11/2020;30;1;51;51;3741.98;10;Porto Alegre;RS
18/11/2020;2;6;27.2;163.2;3905.18;10;Porto Alegre;RS
19/11/2020;29;1;12.75;12.75;3917.93;12;Florianopolis;SC
19/11/2020;15;2;12.75;25.5;3943.43;12;Florianopolis;SC
19/11/2020;1;5;18.45;92.25;4035.68;12;Florianopolis;SC
19/11/2020;40;1;26.25;26.25;4061.93;12;Florianopolis;SC
19/11/2020;17;3;10.2;30.6;4092.53;12;Florianopolis;SC
19/11/2020;16;3;11.9;35.7;4128.23;12;Florianopolis;SC
20/11/2020;34;1;29;29;4157.23;1;Novo Hamburgo;RS
20/11/2020;31;1;29;29;4186.23;1;Novo Hamburgo;RS
20/11/2020;3;3;29;87;4567.13;1;Novo Hamburgo;RS
20/11/2020;2;5;28.8;144;4385.75;8;Porto Alegre;RS
20/11/2020;29;4;13.88;55.52;4241.75;14;Porto Alegre;RS
20/11/2020;1;6;15.73;94.38;4480.13;14;Porto Alegre;RS
23/11/2020;2;8;27.2;217.6;4784.73;13;Porto Alegre;RS
24/11/2020;2;3;27.2;81.6;4866.33;14;Porto Alegre;RS
24/11/2020;17;5;10.2;51;4917.33;14;Porto Alegre;RS
27/11/2020;30;1;51;51;4968.33;10;Porto Alegre;RS
27/11/2020;2;6;27.2;163.2;5131.53;10;Porto Alegre;RS
28/11/2020;29;1;12.75;12.75;5144.28;15;Novo Hamburgo;RS
28/11/2020;2;1;27.2;27.2;5171.48;15;Novo Hamburgo;RS
28/11/2020;15;1;12.75;12.75;5184.23;15;Novo Hamburgo;RS
28/11/2020;23;1;11.9;11.9;5196.13;15;Novo Hamburgo;RS
28/11/2020;21;1;40;40;5236.13;15;Novo Hamburgo;RS
28/11/2020;17;1;10.2;10.2;5246.33;15;Novo Hamburgo;RS
01/12/2020;2;1;30.4;30.4;5276.73;14;Porto Alegre;RS
01/12/2020;17;1;39;39;5315.73;14;Porto Alegre;RS
01/12/2020;16;4;13.3;53.2;5368.93;14;Porto Alegre;RS
02/12/2020;2;6;30.4;182.4;5551.33;8;Porto Alegre;RS
03/12/2020;30;1;51;51;5602.33;10;Porto Alegre;RS
03/12/2020;2;6;27.2;163.2;5765.53;10;Porto Alegre;RS
03/12/2020;2;1;27.2;27.2;5792.73;16;Porto Alegre;RS
04/12/2020;2;2;27.2;54.4;6010.33;11;Porto Alegre;RS
04/12/2020;2;2;27.2;54.4;6119.13;17;Xangri-la;RS
04/12/2020;2;6;27.2;163.2;5955.93;18;Osorio;RS
04/12/2020;2;2;27.2;54.4;6064.73;19;Tramandai;RS
05/12/2020;2;10;27.2;272;6391.13;13;Porto Alegre;RS
09/12/2020;14;1;39;39;6430.13;1;Novo Hamburgo;RS
09/12/2020;12;1;22;22;6452.13;1;Novo Hamburgo;RS
09/12/2020;1;2;17;34;6486.13;1;Novo Hamburgo;RS
09/12/2020;3;1;29;29;6515.13;1;Novo Hamburgo;RS
18/12/2020;2;1;27.2;27.2;7031.93;16;Porto Alegre;RS
18/12/2020;2;18;27.2;489.6;7004.73;20;Porto Alegre;RS
22/12/2020;2;30;27.68;830.4;7948.85;8;Porto Alegre;RS
22/12/2020;29;6;14.42;86.52;7118.45;14;Porto Alegre;RS
22/12/2020;1;6;14.45;86.7;8337.55;14;Porto Alegre;RS
22/12/2020;17;6;10.2;61.2;8398.75;14;Porto Alegre;RS
22/12/2020;2;10;30.2;302;8250.85;21;Florianopolis;SC
06/01/2021;2;4;27.2;108.8;8507.55;10;Porto Alegre;RS
07/01/2021;2;4;27.2;108.8;8833.95;13;Porto Alegre;RS
07/01/2021;2;4;27.2;108.8;8942.75;13;Porto Alegre;RS
07/01/2021;2;8;27.2;217.6;8725.15;20;Porto Alegre;RS
12/01/2021;2;12;27.2;326.4;9269.15;20;Porto Alegre;RS
13/01/2021;29;3;12.75;38.25;9307.4;22;Pelotas;RS
13/01/2021;2;6;27.2;163.2;9470.6;22;Pelotas;RS
14/01/2021;62;1;11.9;11.9;9482.5;12;Florianopolis;SC
14/01/2021;25;1;31.05;31.05;9513.55;12;Florianopolis;SC
14/01/2021;2;2;27.2;54.4;9622.35;12;Florianopolis;SC
14/01/2021;15;1;12.75;12.75;9635.1;12;Florianopolis;SC
14/01/2021;28;1;13.6;13.6;9648.7;12;Florianopolis;SC
14/01/2021;21;1;17;17;9665.7;12;Florianopolis;SC
14/01/2021;17;4;10.2;40.8;9706.5;12;Florianopolis;SC
14/01/2021;2;2;27.2;54.4;9567.95;16;Porto Alegre;RS
18/01/2021;2;10;27.2;272;9978.5;18;Osorio;RS
19/01/2021;2;1;27.2;27.2;10005.7;16;Porto Alegre;RS
25/01/2021;63;5;11.9;59.5;10065.2;14;Porto Alegre;RS
25/01/2021;29;6;15;90;10155.2;14;Porto Alegre;RS
25/01/2021;1;6;14.45;86.7;10568.3;14;Porto Alegre;RS
25/01/2021;17;6;10.2;61.2;10629.5;14;Porto Alegre;RS
25/01/2021;2;12;27.2;326.4;10481.6;20;Porto Alegre;RS
29/01/2021;2;10;27.2;272;10901.5;11;Porto Alegre;RS
03/02/2021;29;4;12.75;51;10952.5;10;Porto Alegre;RS
03/02/2021;2;6;27.2;163.2;11442.1;10;Porto Alegre;RS
03/02/2021;2;12;27.2;326.4;11278.9;20;Porto Alegre;RS
06/02/2021;12;6;18.7;112.2;11554.3;1;Novo Hamburgo;RS
06/02/2021;1;6;14.45;86.7;11641;1;Novo Hamburgo;RS
06/02/2021;3;4;24.65;98.6;11739.6;1;Novo Hamburgo;RS
08/02/2021;29;6;12.75;76.5;11816.1;14;Porto Alegre;RS
08/02/2021;2;2;27.2;54.4;11870.5;14;Porto Alegre;RS
08/02/2021;1;10;14.45;144.5;12015;14;Porto Alegre;RS
10/02/2021;2;4;32;128;12143;23;Imbituba;SC
11/02/2021;2;5;27.2;136;12279;8;Porto Alegre;RS
12/02/2021;2;10;27.2;272;12622.4;11;Porto Alegre;RS
12/02/2021;63;6;11.9;71.4;12350.4;14;Porto Alegre;RS
17/02/2021;29;5;15;75;12697.4;14;Porto Alegre;RS
17/02/2021;2;2;27.2;54.4;12751.8;14;Porto Alegre;RS
17/02/2021;1;11;15.3;168.3;12920.1;14;Porto Alegre;RS
18/02/2021;29;4;12.75;51;12971.1;10;Porto Alegre;RS
18/02/2021;2;6;27.2;163.2;13678.3;10;Porto Alegre;RS
18/02/2021;2;10;27.2;272;13515.1;11;Porto Alegre;RS
18/02/2021;2;10;27.2;272;13243.1;13;Porto Alegre;RS
19/02/2021;2;6;29.6;177.6;13855.9;8;Porto Alegre;RS
22/02/2021;29;2;15.75;31.5;13887.4;22;Pelotas;RS
22/02/2021;2;2;27.2;54.4;13941.8;22;Pelotas;RS
23/02/2021;29;3;15;45;13986.8;24;Osorio;RS
23/02/2021;12;3;22;66;14052.8;24;Osorio;RS
23/02/2021;21;2;17;34;14086.8;24;Osorio;RS
24/02/2021;29;1;12.75;12.75;14099.55;16;Porto Alegre;RS
24/02/2021;2;2;27.2;54.4;14153.95;16;Porto Alegre;RS
26/02/2021;14;3;49.38;148.14;15305.09;1;Novo Hamburgo;RS
26/02/2021;1;2;14.45;28.9;15406.24;1;Novo Hamburgo;RS
26/02/2021;3;3;24.65;73.95;15531.19;1;Novo Hamburgo;RS
26/02/2021;2;10;27.2;272;15156.95;20;Porto Alegre;RS
26/02/2021;29;4;12.75;51;14204.95;25;Pelotas;RS
26/02/2021;2;25;27.2;680;14884.95;25;Pelotas;RS
26/02/2021;12;5;14.45;72.25;15377.34;25;Pelotas;RS
26/02/2021;65;4;12.75;51;15457.24;25;Pelotas;RS
02/03/2021;1;2;17;34;15565.19;1;Novo Hamburgo;RS
02/03/2021;27;1;39;39;15604.19;1;Novo Hamburgo;RS
04/03/2021;2;6;27.2;163.2;15767.39;10;Porto Alegre;RS
06/03/2021;2;5;27.2;136;16175.39;8;Porto Alegre;RS
06/03/2021;2;10;27.2;272;16039.39;20;Porto Alegre;RS
09/03/2021;2;7;25.6;179.2;16354.59;8;Porto Alegre;RS
