PDCODE;SALEDATE;CLIENTCODE;QTY;UNITVAL;TOTALVAL
001;03/10/2020;003;2;15.3;30.6
012;05/10/2020;001;10;18.7;187
001;05/10/2020;001;10;14.45;144.5
003;05/10/2020;001;3;24.65;73.95
005;06/10/2020;006;2;70.75;141.5
004;12/10/2020;007;1;40;40
014;12/10/2020;007;2;40;80
002;16/10/2020;008;7;27.2;190.4
018;16/10/2020;009;4;38.25;153
015;16/10/2020;009;4;12.75;51
001;16/10/2020;009;3;14.45;43.35
017;16/10/2020;009;3;10.2;30.6
016;16/10/2020;009;4;11.9;47.6
025;22/10/2020;001;3;12.6;37.8
014;22/10/2020;001;2;34;68
012;22/10/2020;001;4;19.8;79.2
001;22/10/2020;001;6;15.3;91.8
027;22/10/2020;001;2;30.6;61.2
022;22/10/2020;001;6;10.8;64.8
017;22/10/2020;001;4;10.8;43.2
016;22/10/2020;001;3;12.6;37.8
003;22/10/2020;001;3;26.1;78.3
029;27/10/2020;010;4;10;40
002;27/10/2020;010;6;27.2;163.2
002;29/10/2020;011;5;27.2;136
002;31/10/2020;010;6;27.2;163.2
002;31/10/2020;008;4;27.2;108.8
030;01/11/2020;010;1.4;40.2;56.28
034;06/11/2020;001;1;26.1;26.1
031;06/11/2020;001;1;26.1;26.1
002;06/11/2020;008;4;39.5;158
003;06/11/2020;001;2;26.1;52.2
030;07/11/2020;010;1;51;51
002;07/11/2020;010;4;27.2;108.8
002;10/11/2020;008;8;28.8;230.4
030;12/11/2020;010;1;51;51
002;12/11/2020;010;6;27.2;163.2
034;13/11/2020;001;1;29;29
012;13/11/2020;001;3;22;66
002;16/11/2020;013;4;32;128
029;17/11/2020;014;3;12.75;38.25
014;17/11/2020;014;1;33.15;33.15
001;17/11/2020;014;6;14.45;86.7
030;18/11/2020;010;1;51;51
002;18/11/2020;010;6;27.2;163.2
029;19/11/2020;012;1;12.75;12.75
015;19/11/2020;012;2;12.75;25.5
001;19/11/2020;012;5;18.45;92.25
040;19/11/2020;012;1;26.25;26.25
017;19/11/2020;012;3;10.2;30.6
016;19/11/2020;012;3;11.9;35.7
034;20/11/2020;001;1;29;29
031;20/11/2020;001;1;29;29
029;20/11/2020;014;4;13.88;55.52
002;20/11/2020;008;5;28.8;144
001;20/11/2020;014;6;15.73;94.38
003;20/11/2020;001;3;29;87
002;23/11/2020;013;8;27.2;217.6
